,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Russia,Russia,GPE,0.23564815,1.18518519,en,1.50000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
China,China,GPE,0.04576720,0.46137566,en,1.50000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Punta del Este,Punta del Este,GPE,0.00000000,0.00000000,en,1.40000000,4516307-8,3440939,P,-34.94747000,-54.93382000,SOUTH-AMERICA,Uruguay,SES
Caracas,Caracas,GPE,0.37383117,1.06431818,en,1.40000000,4009457-1,3646738,P,10.48801000,-66.87919000,SOUTH-AMERICA,Venezuela,NSA
Albion,Albion,GPE,0.00000000,0.05128205,en,1.30000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Pontevedra,Pontevedra,LOC,-0.31730769,0.40064103,en,1.30000000,4227088-1,3113209,P,42.43100000,-8.64435000,EUROPE-AFRICA,Spain,MED
Palermo,Palermo,GPE,0.25384615,0.73589744,en,1.30000000,4044402-8,2523920,P,38.11660000,13.36360000,EUROPE-AFRICA,Italy,MED
Lisbon,Lisbon,GPE,0.17948718,0.20512821,en,1.30000000,4035919-0,2267057,P,38.72509000,-9.14980000,EUROPE-AFRICA,Portugal,MED
Rio Grande,Rio Grande,GPE,0.00000000,0.00000000,en,1.30000000,4076741-3,3451190,P,-22.90642000,-43.18223000,SOUTH-AMERICA,Brazil,SES
Maine,Maine,GPE,0.25174825,0.72762238,en,1.30000000,4114929-4,4971068,A,45.50032000,-69.24977000,NORTH-AMERICA,United States,ENA
San Nicolás,San Nicolás,GPE,0.14583333,0.37179487,en,1.30000000,5168325-8,3577089,P,12.43624000,-69.90713000,CENTRAL-AMERICA,Aruba,CAR
Los Domingos',Los Domingos',GPE,0.61538462,0.30769231,en,1.30000000,,3498653,H,18.80093000,-68.90191000,CENTRAL-AMERICA,Dominican Republic,CAR
America,America,GPE,0.30769231,0.58974359,en,1.30000000,,0,,,,,,
WASHINGTON,WASHINGTON,GPE,-0.10042735,0.58333333,en,1.30000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Ourense,Ourense,LOC,-0.26923077,0.61698718,en,1.30000000,4043764-4,3114965,P,42.33669000,-7.86407000,EUROPE-AFRICA,Spain,MED
Denmark,Denmark,GPE,-0.55769231,1.05769231,en,1.30000000,4010877-6,2623032,A,56.00000000,10.00000000,EUROPE,Denmark,NEU
Huesca,Huesca,GPE,-0.10512821,0.44871795,en,1.30000000,4089293-1,3120514,P,42.13615000,-0.40870000,EUROPE-AFRICA,Spain,MED
Buenos,Buenos,GPE,0.80769231,1.17307692,en,1.30000000,4008756-6,3435910,P,-34.61315000,-58.37723000,SOUTH-AMERICA,Argentina,SES
Peru,Peru,GPE,-0.07692308,0.38461538,en,1.30000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Aires,Aires,LOC,0.80769231,1.17307692,en,1.30000000,4008756-6,3435910,P,-34.61315000,-58.37723000,SOUTH-AMERICA,Argentina,SES
Murcia,Murcia,GPE,-0.03569347,0.61057692,en,1.30000000,4115291-8,2513416,P,37.98704000,-1.13004000,EUROPE-AFRICA,Spain,MED
San Lorenzo,San Lorenzo,GPE,0.76923077,0.76923077,en,1.30000000,4560038-7,3437056,P,-25.33968000,-57.50879000,SOUTH-AMERICA,Paraguay,SES
the Cantabrian Sea,the Cantabrian Sea,LOC,-0.04273504,0.04273504,en,1.30000000,,0,,,,,,
North Carolina,North Carolina,GPE,-0.15384615,0.15384615,en,1.30000000,4042551-4,4563243,P,18.38078000,-65.95739000,CENTRAL-AMERICA,Puerto Rico,CAR
Ebro,Ebro,GPE,0.05982906,0.47863248,en,1.30000000,4092277-7,3123754,H,40.73024000,0.86985000,EUROPE-AFRICA,Spain,MED
Cantabrian,Cantabrian,GPE,0.05982906,0.47863248,en,1.30000000,,0,,,,,,
River,River,GPE,-0.17832168,0.48251748,en,1.30000000,,11497250,L,21.03498000,105.84550000,ASIA,Vietnam,EAS
Paris,Paris,GPE,0.19230769,0.65934066,en,1.30000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
Montevideo,Montevideo,GPE,-0.05681818,0.37878788,en,1.20000000,4115214-1,3441575,P,-34.90328000,-56.18816000,SOUTH-AMERICA,Uruguay,SES
Huelva,Huelva,GPE,-0.10000000,0.10000000,en,1.00000000,4196015-4,2516548,P,37.26638000,-6.94004000,EUROPE-AFRICA,Spain,MED
Soria,Soria,GPE,0.21619048,0.56571429,en,1.00000000,4322503-2,3108681,P,41.76401000,-2.46883000,EUROPE-AFRICA,Spain,MED
Egypt,Egypt,GPE,0.80000000,0.75000000,en,1.00000000,4000556-2,357994,A,27.00000000,30.00000000,AFRICA,Egypt,SAH
Santiago de Chile,Santiago de Chile,GPE,0.00000000,0.00000000,en,1.00000000,4122723-2,3871336,P,-33.45694000,-70.64827000,SOUTH-AMERICA,Chile,SWS
the Iberian Peninsula,the Iberian Peninsula,LOC,0.23484848,0.72727273,en,1.00000000,,0,,,,,,
New Delhi,New Delhi,GPE,0.03409091,0.11363636,en,1.00000000,4011371-1,1261481,P,28.62137000,77.21480000,ASIA,India,SAS
Tenerife,Tenerife,GPE,0.06666667,0.55555556,en,1.00000000,4277900-5,2511174,P,28.46824000,-16.25462000,AFRICA,Spain,SAH
MIAMI,MIAMI,GPE,-0.10000000,0.40000000,en,1.00000000,4039108-5,4164138,P,25.77427000,-80.19366000,NORTH-AMERICA,United States,ENA
MEXICO CITY,MEXICO CITY,GPE,0.00000000,0.10000000,en,1.00000000,4039060-3,3530597,P,19.42847000,-99.12766000,CENTRAL-AMERICA,Mexico,NCA
UPA,UPA,GPE,0.02083333,0.35416667,en,1.00000000,4345987-0,479561,P,54.74306000,55.96779000,EUROPE,Russia,EEU
Cerler,Cerler,GPE,-0.20000000,0.00000000,en,1.00000000,,318774,P,36.28333000,29.78093000,EUROPE-AFRICA,Turkey,MED
New Atlantic,New Atlantic,LOC,0.24545455,0.55151515,en,1.00000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Ciudad,Ciudad,GPE,0.20000000,0.30000000,en,1.00000000,4542252-7,3439101,P,-25.50360000,-54.65067000,SOUTH-AMERICA,Paraguay,SES
Iran,Iran,GPE,0.37777778,0.47777778,en,1.00000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
the west coast,the west coast,LOC,0.00000000,0.00000000,en,1.00000000,,12492673,L,39.28000000,-155.26000000,PACIFIC,United States,NPO
Vigo,Vigo,GPE,0.10000000,0.15000000,en,1.00000000,4108258-8,3105976,P,42.23282000,-8.72264000,EUROPE-AFRICA,Spain,MED
Ronda,Ronda,GPE,-0.04722222,0.40277778,en,1.00000000,4235107-8,2511730,P,36.74231000,-5.16709000,EUROPE-AFRICA,Spain,MED
Brussels,Brussels,GPE,0.00000000,0.40000000,en,1.00000000,4008460-7,2800866,P,50.85045000,4.34878000,EUROPE,Belgium,WCE
La Mancha,La Mancha,GPE,1.00000000,0.30000000,en,1.00000000,4078343-1,2510409,P,39.85810000,-4.02263000,EUROPE-AFRICA,Spain,MED
Playa de San Juan,Playa de San Juan,GPE,0.06250000,0.13125000,en,1.00000000,,3669511,T,2.33795000,-78.63866000,SOUTH-AMERICA,Colombia,NWS
RALEIGH,RALEIGH,GPE,-0.10000000,0.10000000,en,1.00000000,4224750-0,4487042,P,35.77210000,-78.63861000,NORTH-AMERICA,United States,ENA
Rosario Central,Rosario Central,GPE,0.00000000,0.12500000,en,1.00000000,,8581845,A,27.25616000,-106.29878000,CENTRAL-AMERICA,Mexico,NCA
Mapiripán,Mapiripán,GPE,0.00000000,0.00000000,en,1.00000000,,9172408,A,3.09706000,-71.94964000,SOUTH-AMERICA,Colombia,NSA
Chilean,Chilean,GPE,0.00000000,0.00000000,en,1.00000000,,8261467,A,-75.00094000,-71.59309000,POLAR,Chile,WAN
Los Chapitos',Los Chapitos',GPE,0.00000000,0.00000000,en,1.00000000,,8775868,H,26.88068000,-108.30854000,CENTRAL-AMERICA,Mexico,NCA
Volga,Volga,GPE,-0.20000000,0.45000000,en,1.00000000,4079375-8,11961325,L,56.30668000,43.93167000,EUROPE,Russia,EEU
Ayuso,Ayuso,GPE,0.50000000,0.90000000,en,1.00000000,,3115614,P,41.37447000,-3.70745000,EUROPE-AFRICA,Spain,MED
Villaverde,Villaverde,GPE,-0.04500000,0.15500000,en,1.00000000,,6360745,A,43.23183000,-3.27722000,EUROPE-AFRICA,Spain,MED
the Golden State,the Golden State,GPE,0.09375000,0.72500000,en,1.00000000,,5028163,P,45.00969000,-93.34912000,NORTH-AMERICA,United States,CNA
Switzerland,Switzerland,GPE,0.37083333,0.36666667,en,1.00000000,,2658434,A,47.00016000,8.01427000,EUROPE,Switzerland,WCE
Palau,Palau,GPE,0.00000000,0.00000000,en,1.00000000,4044396-6,1559582,A,7.50300000,134.62100000,PACIFIC,Palau,EPO
Tijuana,Tijuana,GPE,-0.36250000,0.68750000,en,1.00000000,4230553-6,3981609,P,32.50270000,-117.00371000,CENTRAL-AMERICA,Mexico,NCA
São Paulo,São Paulo,GPE,0.13636364,0.45454545,en,1.00000000,4051667-2,3448439,P,-23.54750000,-46.63611000,SOUTH-AMERICA,Brazil,SES
Popayán,Popayán,GPE,-0.04166667,0.25000000,en,1.00000000,4116047-2,3671916,P,2.43823000,-76.61316000,SOUTH-AMERICA,Colombia,NWS
​​extreme,​​extreme,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Kingdom,Kingdom,GPE,-0.06666667,0.40833333,en,1.00000000,,226116,A,0.50000000,30.50000000,AFRICA,Uganda,SEAF
Pyrenean,Pyrenean,LOC,-0.08888889,0.18888889,en,1.00000000,,0,,,,,,
Lake Tahoe,Lake Tahoe,LOC,0.10000000,0.40000000,en,1.00000000,4366043-5,5397664,P,38.93324000,-119.98435000,NORTH-AMERICA,United States,WNA
TRENTON,TRENTON,GPE,0.18409091,0.59696970,en,1.00000000,4120075-5,5105496,P,40.21705000,-74.74294000,NORTH-AMERICA,United States,ENA
N.J.,N.J.,GPE,0.18409091,0.59696970,en,1.00000000,,4503800,S,39.92707000,-74.29304000,NORTH-AMERICA,United States,ENA
Daytona,Daytona,LOC,1.00000000,1.00000000,en,1.00000000,4367426-4,4152872,P,29.21081000,-81.02283000,NORTH-AMERICA,United States,ENA
San Amaro,San Amaro,GPE,-0.40000000,0.70000000,en,1.00000000,,3449715,P,-23.64542000,-46.70394000,SOUTH-AMERICA,Brazil,SES
the Svalbard archipelago,the Svalbard archipelago,LOC,-0.10000000,0.15000000,en,1.00000000,,0,,,,,,
Euskalmet,Euskalmet,GPE,-0.16666667,0.16666667,en,1.00000000,,0,,,,,,
the Great Plains,the Great Plains,LOC,0.32166667,0.83166667,en,1.00000000,,12212750,L,42.58598000,-100.51728000,NORTH-AMERICA,United States,CNA
the Salt Lake City Games,the Salt Lake City Games,GPE,0.14545455,0.25909091,en,1.00000000,,0,,,,,,
Delcy,Delcy,GPE,0.00000000,0.20000000,en,1.00000000,,0,,,,,,
Diosdado Cabello,Diosdado Cabello,LOC,0.00000000,0.20000000,en,1.00000000,,0,,,,,,
María Corina,María Corina,GPE,0.00000000,0.20000000,en,1.00000000,,8472519,P,-0.61505000,-79.25620000,SOUTH-AMERICA,Ecuador,NWS
BEIJING,BEIJING,GPE,0.22222222,0.27777778,en,1.00000000,4075971-4,1816670,P,39.90750000,116.39723000,ASIA,China,EAS
Genoa,Genoa,GPE,0.50000000,0.90000000,en,1.00000000,4020185-5,3176219,P,44.40478000,8.94439000,EUROPE-AFRICA,Italy,MED
South Korea,South Korea,GPE,0.06818182,0.25227273,en,1.00000000,4078029-6,1835841,A,36.50000000,127.75000000,ASIA,South Korea,EAS
Lis,Lis,GPE,-0.20000000,0.45000000,en,1.00000000,,8076979,T,53.71391000,24.05692000,EUROPE,Belarus,WCE
Nevada,Nevada,GPE,0.00000000,0.00000000,en,1.00000000,4041996-4,5509151,A,39.25021000,-116.75119000,NORTH-AMERICA,United States,WNA
Tajo,Tajo,GPE,-0.20000000,0.45000000,en,1.00000000,4105749-1,6356895,A,39.72389000,-5.29294000,EUROPE-AFRICA,Spain,MED
Storm L,Storm L,LOC,0.24444444,0.57777778,en,1.00000000,,4815788,P,39.27733000,-79.24087000,NORTH-AMERICA,United States,ENA
Nutresa,Nutresa,GPE,0.60000000,0.90000000,en,1.00000000,,0,,,,,,
Costa Rica,Costa Rica,GPE,0.00000000,0.00000000,en,1.00000000,4010618-4,3624060,A,10.00000000,-84.00000000,CENTRAL-AMERICA,Costa Rica,SCA
A Coruña,A Coruña,LOC,0.00000000,0.00000000,en,1.00000000,4098904-5,3119841,P,43.37135000,-8.39600000,EUROPE-AFRICA,Spain,MED
Mirtha Legrand,Mirtha Legrand,LOC,-0.12500000,0.37500000,en,1.00000000,,0,,,,,,
South,South,LOC,-0.12500000,0.37500000,en,1.00000000,,11887752,L,33.45876000,-90.15081000,NORTH-AMERICA,United States,CNA
Santander,Santander,GPE,0.00000000,0.00000000,en,1.00000000,4118411-7,3109718,P,43.46472000,-3.80444000,EUROPE-AFRICA,Spain,MED
Baja,Baja,GPE,0.00000000,0.00000000,en,1.00000000,4230553-6,3981609,P,32.50270000,-117.00371000,CENTRAL-AMERICA,Mexico,NCA
Beijing,Beijing,GPE,0.00000000,0.00000000,en,1.00000000,4075971-4,1816670,P,39.90750000,116.39723000,ASIA,China,EAS
Montería,Montería,GPE,-0.08333333,0.21666667,en,1.00000000,7543378-3,3674453,P,8.75081000,-75.87823000,SOUTH-AMERICA,Colombia,NWS
Filmin,Filmin,GPE,0.00000000,0.50000000,en,1.00000000,,0,,,,,,
Pacific,Pacific,LOC,0.06818182,0.22727273,en,1.00000000,,0,,,,,,
Valladolid,Valladolid,GPE,-0.13333333,0.70000000,en,1.00000000,4119355-6,3106672,P,41.65541000,-4.72353000,EUROPE-AFRICA,Spain,MED
Lovecraft,Lovecraft,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Santa Clara,Santa Clara,GPE,-0.33333333,0.35555556,en,1.00000000,4779895-6,3537906,P,22.40711000,-79.96581000,CENTRAL-AMERICA,Cuba,CAR
Da Luz,Da Luz,GPE,0.35000000,0.75000000,en,1.00000000,,7669150,A,15.21529000,-23.16055000,ATLANTIC,Cabo Verde,NAO
Wuthering Heights',Wuthering Heights',GPE,0.15151515,0.31060606,en,1.00000000,,4743259,L,30.10577000,-94.14101000,NORTH-AMERICA,United States,CNA
U.S.,U.S.,GPE,0.01666667,0.25000000,en,1.00000000,,0,,,,,,
Grazalema,Grazalema,GPE,-0.05000000,0.20000000,en,1.00000000,4481647-9,2517049,P,36.76018000,-5.36839000,EUROPE-AFRICA,Spain,MED
The Sunshine State,The Sunshine State,LOC,0.15000000,0.50000000,en,1.00000000,,7172802,P,26.05623000,-80.29627000,NORTH-AMERICA,United States,ENA
São Francisco,São Francisco,GPE,0.12500000,0.87500000,en,1.00000000,4051520-5,5391959,P,37.77493000,-122.41942000,NORTH-AMERICA,United States,WNA
the Asón basin,the Asón basin,LOC,0.08571429,0.45714286,en,1.00000000,,0,,,,,,
Benfica,Benfica,GPE,0.35000000,0.75000000,en,1.00000000,,7538630,P,-22.89168000,-43.24092000,SOUTH-AMERICA,Brazil,SES
the San Andreas,the San Andreas,LOC,0.00000000,0.00000000,en,1.00000000,,5391597,P,38.19603000,-120.68049000,NORTH-AMERICA,United States,WNA
home.&nbsp,home.&nbsp,GPE,0.12500000,0.36666667,en,1.00000000,,0,,,,,,
Caribbean,Caribbean,LOC,-0.10000000,0.24000000,en,1.00000000,,0,,,,,,
the Balearic archipelago,the Balearic archipelago,LOC,0.33333333,0.33333333,en,1.00000000,,0,,,,,,
